Tube-tub	Tube ID	Time point	Tub	Tub or dish	Wing	Sex	Wing length	A-B length	B-C length
6-17	17	6	6	Dishes	R	M	1424.01	434.9	432.77
6-20	20	6	6	Dishes	R	M	1644.31	458.3	414.45
6-26	26	6	6	Cups	U	M	1445.539	458.186	460.255
6-26	26	6	6	Dishes	U	M	1461.02	421.09	366.67
6-26	26	6	6	Dishes	U	M	1466.31	445.02	383.91
6-27	27	6	6	Dishes	L	M	1550.56	490.14	486.8
6-29	29	6	6	Dishes	R	M	1491.86	429.99	453.26
6-3	3	6	6	Cups	R	M	1631.833	517.42	518.154
6-32	32	6	6	Dishes	R	M	1541.27	464.63	455.99
6-33	33	6	6	Dishes	L	M	1644.4	517.89	505.29
6-33	33	6	6	Cups	L	M	1527.98		
6-35	35	6	6	Dishes	R	M	1689.79	517.33	508.94
6-36	36	6	6	Dishes	R	M	1542.38	452.15	423.19
6-37	37	6	6	Cups	R	M	1657.694	510.325	503.089
6-37	37	6	6	Dishes	R	M	1680.67	521.05	521.95
6-38	38	6	6	Dishes	R	M	1753.65	543.5	512.46
6-39	39	6	6	Dishes	R	M	1713.33	503.89	499.99
6-40	40	6	6	Dishes	R	M	1492.32	449.88	437.81
6-42	42	6	6	Cups	L	M	1764.025	520.326	529.19
6-43	43	6	6	Cups	R	M	1836.928	566.525	493.963
6-44	44	6	6	Dishes	R	M	1531.18	459.67	439.24
6-44	44	6	6	Dishes	R	M	1600.25	495.54	496.75
6-45	45	6	6	Cups	L	M	1860.716	557.414	526.685
6-45	45	6	6	Dishes	R	M	1615.66	490.18	485.77
6-46	46	6	6	Cups	R	M	1626.055	505.969	511.879
6-46	46	6	6	Dishes	U	M	1465.34	423.91	381.5
6-46	46	6	6	Dishes	U	M	1473.36	451.39	423.38
6-48	48	6	6	Dishes	R	M	1750.68	528.51	526.53
6-49	49	6	6	Dishes	L	M	1794.96	556.78	553.35
6-5	5	6	6	Dishes	L	M	1544.98	457.27	456.28
6-50	50	6	6	Dishes	R	M	1802.97	554.25	548.67
6-51	51	6	6	Dishes	L	M	1736.72	508.31	517.59
6-53	53	6	6	Cups	L	M	1632.348	495.849	500.057
6-53	53	6	6	Dishes	R	M	1586.85	487.25	489.17
6-56	56	6	6	Dishes	R	M	1612.42	525.6	499.67
6-59	59	6	6	Dishes	R	M	1707.97	541.64	477.02
6-7	7	6	6	Dishes	R	M	1644.13	518.81	488.41
7-1	1	7	7	Cups	L	M	1625.925	518.598	468.87
7-10	10	7	7	Cups	R	M	1696.018	527.803	534.604
