Tube-tub	Tube ID	Time point	Tub	Tub or dish	Wing	Sex	Wing length	A-B length	B-C length
5-32	32	5 (PM)	5	Cups	R	F	1518.07	429.48	407.5
5-32	32	5	5	Dishes	U	F	1544	464.13	463.45
5-33	33	5 (PM)	5	Cups	R	F	1554.1	460.22	461.41
5-33	33	5	5	Dishes	L	F	1703.764	501.809	495.72
5-34	34	5 (PM)	5	Cups	R	F	1566.64	475.24	451.66
5-34	34	5	5	Dishes	R	F	1634.05	490.71	494.95
5-35	35	5 (PM)	5	Cups	R	F	1534.1	464.6	413.8
5-35	35	5	5	Dishes	R	F	1645.04	493.19	465.72
5-35	35	5	5	Dishes	R	F	1862.215	555.568	542.8
5-36	36	5 (PM)	5	Cups	R	F	1618.82	510.15	511.76
5-36	36	5	5	Dish	R	F	1481.51	442.14	432.16
5-37	37	5	5	Cups	R	F	1502.2	478.72	436.95
5-37	37	5	5	Dish	U	F	1637.46	490.82	480.17
5-38	38	5	5	Dishes	R	F	1699.264	521.35	508.597
5-39	39	5	5	Dishes	L	F	1843.86	548.28	570.523
5-39	39	5	5	Dishes	R	F	1493.05	441.18	437.59
5-4	4	5	5	Cups	R	F	1612.87	464.05	450.3
5-4	4	5	5	Dishes	R	F	1607.14	487.52	456.29
5-40	40	5	5	Dishes	R	F	1732.508	505.118	531.243
5-40	40	5	5	Cups	U	F	1426.48	422.47	397.72
5-41	41	5	5	Dish	R	F	1719.96	510.7	517.07
5-42	42	5 (AM)	5	Cups	R	F	1723.82	497.13	432.2
5-42	42	5	5	Dishes	R	F	1648.39	491.17	476.52
5-43	43	5 (AM)	5	Cups	R	F	1752.07	514.03	518.4
5-43	43	5	5	Dish	R	F	1698.1	493.97	531.42
5-44	44	5	5	Dishes	R	F	1633.428	493.597	469.977
5-45	45	5	5	Dish	L	F		543.92	538.38
5-45	45	5	5	Dish	R	F	1569.6	465.45	483.39
5-46	46	5 (PM)	5	Cups	L	F	1540.38	473.31	438.21
5-46	46	5	5	Dish	R	F	1635.15	484.39	482.86
5-47	47	5	5	Dish	R	F	1674.89	506.52	506.78
5-48	48	5	5	Dish	R	F	1678.48	495.78	517.21
5-49	49	5	5	Dish	R	F	1647.21	488.42	480.78
5-5	5	5 (PM)	5	Cups	L	F	1559.02	482.21	484.08
5-5	5	5	5	Dishes	R	F	1634.856	503.475	508.32
5-50	50	5	5	Dish	L	F	1593.47	476.31	456.65
5-51	51	5 (PM)	5	Cups	L	F	1702.32	490.27	484.38
5-51	51	5	5	Dish	L	F	1610.3	478.19	470.74
5-57	57	5	5	Dishes	R	F	1649.36	491.63	456.5
5-6	6	5	5	Dishes	R	F	1554.912	473.16	452.981
5-7	7	5	5	Cups	R	F	1544.02	468.05	454.84
5-7	7	5	5	Dishes	R	F	1605.87	476.57	463.76
5-8	8	5 (PM)	5	Cups	U	F	1667.42	515.84	496.49
5-8	8	5 (PM)	5	Cups	U	F	1695.97	502.02	497.76
5-9	9	5	5	Dishes	L	F	1711.83	512.68	501.45
6-1	1	6	6	Cups	U	F	1657.61	529.764	512.704
6-11	11	6	6	Cups	L	F	1482.518	452.443	423.716
6-14	14	6	6	Dishes	R	F	1447.44	454.61	444.56
6-15	15	6	6	Dishes	R	F	1769.45	523.44	527.46
6-16	16	6	6	Dishes	R	F	1640.55	471.28	468.24
6-17	17	6	6	Cups	L	F	1792.718	522.95	510.516
6-17	17	6	6	Dishes	L	F	1723.54	508.86	516.96
6-18	18	6	6	Cups	R	F	1765.658	550.659	504.498
6-18C	18C	6	6	Dishes	R	F	1916.15	544.78	558.59
6-19	19	6	6	Dishes	R	F	1765.14	519.13	509.81
6-20	20	6	6	Dishes	R	F	1490.13	443.44	456.56
6-21	21	6	6	Dishes	U	F	1771.84	543.15	543.33
6-23	23	6	6	Dishes	L	F	1490.3	440.22	381.28
6-25	25	6	6	Cups	R	F	1693.549	560.015	536.255
6-26	26	6	6	Cups	R	F	1647.272	492.807	455.012
6-26	26	6	6	Dishes	R	F	1616.26	480	475.33
6-27	27	6	6	Dishes	L	F	1872.64	550.56	
6-3	3	6	6	Cups	L	F	1723.339	507.628	492.078
6-30	30	6	6	Dishes	R	F	1557.17	441.81	397.01
6-31	31	6	6	Dishes	L	F	1617.84	463.16	466.82
6-32	32	6	6	Dishes	R	F	1455.89	427.92	428.65
6-33	33	6	6	Dishes	R	F	1754.38	525.68	505.82
6-34	34	6	6	Dishes	R	F	1518.85	450.02	439.44
6-35	35	6	6	Dishes	R	F	1792.43	552.45	556.78
6-36	36	6	6	Dishes	R	F	1426.73	402.53	362.66
6-37	37	6	6	Cups	L	F	1720.299	491.648	470.629
6-37	37	6	6	Dishes	R	F	1587.31	460.4	455.64
6-38	38	6	6	Dishes	R	F	1621.38	483.98	449.68
6-39	39	6	6	Dishes	R	F	1809.21	544.46	543.63
6-4	4	6	6	Dishes	R	F	1671.42	493.39	488.69
6-40	40	6	6	Dishes	R	F	1683.66	459.22	472.47
6-41	41	6	6	Dishes	R	F	1753.22	545.8	504.27
6-42	42	6	6	Cups	L	F	1546.419	502.047	468.109
6-44	44	6	6	Dishes	R	F	1587.27	482.75	468.93
6-44	44	6	6	Dishes	R	F	1646.07	480.68	466.26
6-45	45	6	6	Dishes	R	F	1876.86	460.85	445.17
6-46	46	6	6	Dishes	R	F	1616.26	483.43	481.74
6-46	46	6	6	Cups	U	F	1566.048	499.956	514.735
6-48	48	6	6	Dishes	R	F	1548.14	515.06	497.19
6-49	49	6	6	Dishes	R	F	1760.79	474.39	492.11
6-50	50	6	6	Cups	L	F	1624.685	505.769	491.253
6-50	50	6	6	Dishes	R	F	1683.88	472.8	487.63
6-51	51	6	6	Dishes	R	F	1660.54	523.95	516.28
6-52	52	6	6	Dishes	R	F	1590.51	464.07	453.16
6-53	53	6	6	Dishes	R	F	1482.17	457.83	463.94
6-56	56	6	6	Dishes	R	F	1668.19	472.24	443.07
6-57	57	6	6	Dishes	R	F	1582.23	494.64	491.99
6-59	59	6	6	Dishes	L	F	1599.57	457.58	458.77
6-6	6	6	6	Dishes	R	F	1531.37	412.49	375.9
6-7	7	6	6	Dishes	R	F	1613	457.82	449.3
6-9	9	6	6	Dishes	L	F	1610.25	475.27	458.11
7-1	1	7	7	Cups	R	F	1637.648	477.252	468.226
7-10	10	7	7	Cups	L	F	1642.161	509.949	506.683
7-11	11	7	7	Cups	L	F	1754.13	533.802	494.317
7-12	12	7	7	Cups	L	F	1781.667	587.206	516.499
7-14	14	7	7	Dishes	L	F	1371.757	409.882	414.993
7-14	14	7	7	Cups	L	F	1450.307	451.645	450.173
7-15	15	7	7	Cups	U	F	1415.268	426.06	406.605
7-16	16	7	7	Dishes	L	F	1529.781	460.76	416.75
7-16	16	7	7	Cups	U	F	1573.07	475.587	443.441
7-17	17	7	7	Cups	L	F	1672.456	533.087	460.507
7-18	18	7	7	Cups	R	F	1537.251	450.113	510.983
7-19	19	7	7	Cups	L	F	1437.644	446.289	442.109
7-2	2	7	7	Cups	L	F	1478.064	464.493	476.901
7-21	21	7	7	Cups	L	F	1341.083	379.277	329.477
7-21	21	7	7	Dishes	U	F	1547.727	500.969	494.655
7-24	24	7	7	Cups	L	F	1638.178	527.421	495.341
7-26	26	7	7	Cups	L	F	1630.452	491.05	512.06
7-27	27	7	7	Cups	L	F	1456.577	456.087	420.798
7-30	30	7	7	Cups	L	F	1705.798	511.988	497.873
7-32	32	7	7	Cups	L	F	1761.567	522.44	502.559
7-33	33	7	7	Dishes	R	F	1531.594	470.414	456.801
7-34	34	7	7	Dishes	L	F	1517.103	460.806	424.354
7-36	36	7	7	Cups	L	F	1656.566	490.561	509.557
7-37	37	7	7	Dishes	L	F	1474.587	389.924	417.853
7-37	37	7	7	Cups	L	F	1516.314	452.134	461.692
7-38	38	7	7	Dishes	R	F	1393.129	415.196	377.431
7-4	4	7	7	Cups	R	F	1648.756	505.592	467.122
7-40	40	7	7	Cups	R	F	1439.415	422.922	416.146
7-42	42	7	7	Cups	U	F	1763.936	533.652	463.902
7-43	43	7	7	Cups	L	F	1858.778	526.347	527.343
7-43	43	7	7	Dishes	U	F	1293.654	390.187	352.571
7-44	44	7	7	Dishes	L	F	1501.739	449.943	438.445
7-45	45	7	7	Cups	L	F	1698.133	498.626	517.34
7-45	45	7	7	Dishes	U	F	1681.754	489.677	481.043
7-47	47	7	7	Cups	L	F	1776.493	522.615	486.458
7-48	48	7	7	Cups	U	F	1641.873	462.806	417.797
7-49	49	7	7	Dishes	U	F	1758.975	507.345	450.374
7-50	50	7	7	Cups	R	F	1666.623	542.304	534.689
7-51	51	7	7	Cups	U	F	1708.939	540.36	521.214
7-52	52	7	7	Dishes	L	F	1632.71	493.115	490.745
7-52	52	7	7	Cups	R	F	1615.677	482.284	447.004
7-53	53	7	7	Dishes	L	F	1750.107	533.697	533.95
7-53	53	7	7	Cups	U	F	1506.365	491.906	472.14
7-56	56	7	7	Cups	L	F	1709.24	524.891	528.398
7-57	57	7	7	Cups	L	F	1519.762	472.648	470.178
7-6	6	7	7	Cups	L	F	1630.669	496.874	474.328
7-7	7	7	7	Cups	R	F	1497.215	469.011	449.055
7-9	9	7	7	Cups	R	F	1622.493	472.196	487.246
8-1	1	8	8	Cups	U	F	1620.296	492.119	501.161
8-14	14	8	8	Cups	L	F	1395.713	432.184	433.04
8-17	17	8	8	Cups	U	F	1601.137	486.456	501.426
8-18	18	8	8	Cups	U	F	1525.909	473.452	486.827
8-18	18	8	8	Cups	U	F	1589.438	486.659	476.458
8-2	2	8	8	Cups	L	F	1612.704	472.021	493.064
8-21	21	8	8	Dishes	L	F	1534.022	429.331	437.521
8-23	23	8	8	Cups	L	F	1644.047	494.661	480.946
8-23	23	8	8	Dishes	U	F	1579.122	488.876	466.65
8-23	23	8	8	Dishes	U	F	1670.859	493.277	511.811
8-24	24	8	8	Dishes	U	F	1787.841	543.577	504.731
